"","appid","name","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price"
"6245",386480,"Blood Code","2015/12/28",1,"WeShare Game Studio","WeShare Game Studio","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud","Adventure;Casual;Indie;Simulation;Strategy","Otome;Visual Novel;Anime",29,1065,393,282,343,"50000-100000",4.79
"6246",386490,"Wanda - A Beautiful Apocalypse","2016/6/3",1,"Kodots Games","KISS ltd","windows",0,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support","Casual;Indie;RPG","Casual;Indie;Puzzle",12,95,60,210,212,"100000-200000",1.69
"6253",386620,"Cook, Serve, Delicious! 2!!","2017/9/13",1,"Vertigo Gaming Inc.","Vertigo Gaming Inc.","windows;mac;linux",0,"Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action;Indie;Simulation;Strategy","Simulation;Indie;Management",45,1368,194,153,181,"100000-200000",9.99
"6265",386880,"Rake","2015/7/13",1,"Konsordo","Konsordo","windows",0,"Single-player;Multi-player;Steam Trading Cards","Action;Adventure;Indie;Simulation","Horror;Multiplayer;Survival Horror",0,2452,1079,116,217,"100000-200000",3.99
"6268",386940,"Ultimate Chicken Horse","2016/3/4",1,"Clever Endeavour Games","Clever Endeavour Games","windows;mac;linux",0,"Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action;Casual;Indie","Multiplayer;Funny;Local Multiplayer",31,7908,451,622,658,"500000-1000000",10.99
"6282",387290,"Ori and the Blind Forest: Definitive Edition","2016/4/27",1,"Moon Studios GmbH","Microsoft Studios","windows",0,"Single-player;Steam Achievements;Full controller support;Steam Cloud;Stats","Action","Atmospheric;Great Soundtrack;Platformer",57,15886,627,322,410,"1000000-2000000",14.99
"6283",387340,"Hyperdimension Neptunia U: Action Unleashed","2016/3/21",1,"Idea Factory;Compile Heart;Tamsoft","Idea Factory International","windows",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action;RPG","Anime;Hack and Slash;Female Protagonist",35,2394,176,335,469,"100000-200000",19.49
"6290",387860,"the static speaks my name","2015/8/10",1,"the whale husband","the whale husband","windows;mac;linux",0,"Single-player","Adventure;Free to Play;Indie;RPG","Free to Play;Psychological Horror;Indie",0,4014,931,13,15,"200000-500000",0
"6294",387930,"The Tape","2015/11/19",1,"Kazakov Oleg","Kazakov Oleg","windows",18,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support","Indie","Indie;Horror;First-Person",4,184,139,201,230,"100000-200000",0.79
"6296",387990,"Scrap Mechanic","2016/1/19",1,"Axolot Games","Axolot Games","windows",0,"Single-player;Multi-player;Co-op;Steam Workshop;Steam Cloud","Action;Adventure;Indie;Simulation;Early Access","Early Access;Building;Multiplayer",0,15197,2777,2355,775,"500000-1000000",14.99
"6298",388050,"Snik","2015/9/4",1,"Cleverweek","Cleverweek","windows;mac;linux",0,"Single-player;Steam Trading Cards;Stats","Casual;Indie","Casual;Indie",24,58,39,329,345,"50000-100000",1.99
"6299",388060,"The Escapists: The Walking Dead","2015/9/30",1,"Team17 Digital Ltd","Team17 Digital Ltd","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Indie;Strategy","Zombies;Survival;Indie",24,360,218,73,82,"100000-200000",12.99
"6300",388090,"Five Nights at Freddy's 4","2015/7/23",1,"Scott Cawthon","Scott Cawthon","windows",0,"Single-player","Action;Indie;Strategy","Horror;Survival Horror;Singleplayer",0,6348,507,139,206,"200000-500000",5.79
"6301",388120,"Spakoyno: Back to the USSR 2.0","2016/2/15",1,"Separate Game Development;Dagestan Technology","Dagestan Technology","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud","Adventure;Casual","Adventure;Casual;Visual Novel",11,328,345,266,262,"200000-500000",3.19
"6304",388210,"Day of the Tentacle Remastered","2016/3/21",1,"Double Fine Productions","Double Fine Productions","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Commentary available","Adventure","Adventure;Point & Click;Classic",58,2404,73,189,237,"200000-500000",10.99
"6312",388390,"""Glow Ball"" - The billiard puzzle game","2015/7/20",1,"WTFOMGames","WTFOMGames","windows;linux",0,"Single-player;Steam Trading Cards;Partial Controller Support","Casual;Indie;Sports;Strategy","Indie;Strategy;Casual",0,22,93,245,263,"50000-100000",2.89
"6313",388410,"Darksiders II Deathinitive Edition","2015/11/5",1,"Gunfire Games;Vigil Games;THQ Nordic","THQ Nordic","windows",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Action;Adventure;RPG","Action;Adventure;Hack and Slash",50,5935,2063,992,861,"1000000-2000000",24.99
"6314",388420,"In Between","2015/8/21",1,"Gentlymad","Headup Games","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Indie","Indie;2D;Puzzle-Platformer",16,254,31,118,134,"50000-100000",8.99
"6324",388660,"Project Tarvotan","2015/9/25",1,"JDRumble","JDRumble","windows;mac",0,"Single-player;Steam Trading Cards","Indie;Simulation;Strategy","Strategy;Indie;Simulation",0,10,13,263,283,"20000-50000",1.59
"6328",388750,"BlazBlue: Chronophantasma Extend","2016/3/2",1,"Arc System Works","H2 Interactive Co., Ltd.","windows",0,"Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action","Anime;Fighting;2D Fighter",51,2014,180,805,1510,"200000-500000",22.99
"6332",388880,"Oxenfree","2016/1/14",1,"Night School Studio","Night School Studio","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud","Adventure;Indie","Story Rich;Choices Matter;Supernatural",13,6551,477,258,382,"200000-500000",14.99
"6347",389270,"Through Abandoned: The Underground City","2015/7/22",1,"Igor Krutov","Kiss Publishing Ltd","windows",0,"Single-player;Steam Achievements;Steam Trading Cards","Adventure;Indie","Adventure;Indie;Point & Click",5,127,40,359,370,"200000-500000",0.79
"6350",389400,"The chronicles of Emerland. Solitaire.","2015/7/29",1,"Rainbow Games","Rainbow Games","windows",0,"Single-player;Steam Achievements;Steam Trading Cards","Casual","Casual;Card Game;Hidden Object",14,99,24,200,209,"100000-200000",2.79
"6351",389430,"Knight Online","2016/1/25",1,"Noah System;Mgame","NTTGame","windows",0,"Single-player;Multi-player;MMO;Steam Trading Cards","Action;Adventure;Free to Play;Massively Multiplayer;RPG","Free to Play;MMORPG;Massively Multiplayer",0,3704,4187,113,107,"2000000-5000000",0
"6356",389570,"Mitos.is: The Game","2015/7/29",1,"Freakinware Studios","Freakinware Studios","windows;mac",0,"Multi-player","Free to Play;Simulation","Free to Play;Multiplayer;Massively Multiplayer",0,9463,2158,268,67,"2000000-5000000",0
"6357",389650,"Stardust Galaxy Warriors: Stellar Climax","2015/11/10",1,"Dreamloop Games","Dreamloop Games","windows;mac;linux",0,"Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud","Action;Adventure;Indie","Action;Indie;Shoot 'Em Up",49,138,8,255,370,"0-20000",6.99
"6360",389700,"My Bones","2015/8/3",1,"GDNomad","Infernal Dream","windows",0,"Single-player;Steam Trading Cards","Gore;Adventure;Indie","Adventure;Indie;Gore",0,151,149,242,245,"200000-500000",3.99
"6361",389730,"TEKKEN 7","2017/6/1",1,"BANDAI NAMCO Studios Inc.","BANDAI NAMCO Entertainment","windows",0,"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Action;Sports","Fighting;Action;Multiplayer",42,15372,3135,4367,7210,"500000-1000000",34.99
"6386",390570,"Three Digits","2015/8/14",1,"Cleverweek","Cleverweek","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards;Stats","Casual;Indie","Indie;Casual;Puzzle",14,64,67,293,299,"100000-200000",1.59
"6390",390670,"Steel Ocean","2015/11/12",1,"ICE Entertainment","Changyou.com Limited","windows",0,"Multi-player;MMO;Co-op","Free to Play;Massively Multiplayer;Simulation","Free to Play;Naval;World War II",20,2845,1259,472,476,"500000-1000000",0
"6396",390880,"Redemption: Eternal Quest","2015/8/28",1,"SimProse Studios","SimProse Studios","windows",0,"Single-player;Steam Trading Cards","Casual;Indie;RPG;Strategy","Casual;RPG;Indie",0,42,39,204,210,"100000-200000",1.59
"6402",390970,"Russian Horror Story","2015/11/2",1,"Footmade;Dagestan Technology","Dagestan Technology","windows;linux",18,"Single-player;Steam Achievements;Steam Trading Cards","Adventure;Casual","Visual Novel;Casual;Adventure",12,497,359,214,225,"200000-500000",3.19
"6405",391040,"F1 2016","2016/8/18",1,"Codemasters;Feral Interactive (Mac)","Codemasters;Feral Interactive (Mac)","windows;mac",0,"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards","Racing;Simulation;Sports","Racing;Simulation;Sports",49,3237,612,1397,1777,"200000-500000",39.99
"6406",391070,"Stellar 2D","2015/7/30",1,"quad games","Back To Basics Gaming","windows",0,"Single-player;Steam Trading Cards;Partial Controller Support","Action;Casual;Indie","Indie;Casual;Action",0,383,600,255,223,"200000-500000",0.79
"6415",391220,"Rise of the Tomb Raider?","2016/2/9",1,"Crystal Dynamics;Eidos-Montr¨¦al;Feral Interactive (Mac);Feral Interactive (Linux);Nixxes software","Square Enix;Feral Interactive (Mac);Feral Interactive (Linux)","windows;mac;linux",18,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Action;Adventure","Adventure;Action;Lara Croft",143,49004,3838,817,656,"2000000-5000000",39.99
"6417",391260,"Labyronia RPG","2015/8/14",1,"Labyrinthine","Epic Quest Games","windows",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud","Action;Adventure;Indie;RPG","RPGMaker;RPG;Adventure",6,771,290,183,236,"200000-500000",0.79
"6421",391300,"Double Cubes","2017/1/18",1,"Recreat4","Recreat4","windows",0,"Single-player;Steam Trading Cards","Action;Adventure;Indie;Simulation","Indie;Adventure;Action",0,52,32,271,302,"50000-100000",3.19
"6422",391310,"Alien Attack","2016/6/21",1,"Alien Jellyfish","Alien Jellyfish","windows",0,"Single-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards","Action;Adventure;Casual;Indie;Simulation","Action;Indie;Casual",23,121,52,239,258,"20000-50000",1.59
"6428",391420,"Gun Rocket","2016/5/2",1,"Space Wedgie","Space Wedgie","windows",0,"Single-player;Multi-player;Steam Trading Cards","Adventure;Casual;Indie","Indie;Casual;Adventure",0,491,181,204,209,"200000-500000",0.79
"6430",391460,"WARMODE","2015/8/25",1,"Novalink","Novalink","windows",0,"Multi-player;Steam Trading Cards","Action;Free to Play;Early Access","Early Access;Free to Play;FPS",0,8983,6166,75,36,"2000000-5000000",0
"6434",391540,"Undertale","2015/9/15",1,"tobyfox","tobyfox","windows;mac;linux",0,"Single-player;Steam Trading Cards","Indie;RPG","Great Soundtrack;Story Rich;Choices Matter",0,97832,4496,679,443,"2000000-5000000",6.99
"6436",391560,"Chicka Wars | Chicken Meat","2016/10/20",1,"BUG-Studio","BUG-Studio","windows",0,"Single-player;Steam Trading Cards;Partial Controller Support","Action;Adventure;Casual;Indie","Indie;Casual;Action",0,42,38,208,213,"20000-50000",0.79
"6439",391600,"King Lucas","2016/12/1",1,"DevilishGames","DevilishGames","windows;mac;linux",0,"Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards","Action;Adventure;Indie","Indie;Action;Adventure",20,91,38,222,256,"20000-50000",3.99
"6443",391660,"Incitement 3","2015/8/19",1,"Astronomic Games","New Reality Games","windows",0,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support","Adventure;Indie;RPG","Indie;Adventure;RPG",29,79,38,289,304,"20000-50000",5.99
"6444",391720,"Layers of Fear","2016/2/15",1,"Bloober Team SA","Aspyr","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud","Adventure;Indie","Horror;Psychological Horror;Atmospheric",27,14551,1682,227,242,"2000000-5000000",14.99
"6458",392110,"Endless Space? 2","2017/5/18",1,"AMPLITUDE Studios","SEGA","windows;mac",0,"Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud","Strategy","Strategy;Space;Sci-fi",106,8161,1986,1278,1588,"500000-1000000",34.99
"6486",393080,"Call of Duty?: Modern Warfare? Remastered","2017/7/27",1,"Raven Software;Beenox","Activision","windows",0,"Single-player;Online Multi-Player;Online Co-op;Steam Achievements","Violent;Action","FPS;Action;Multiplayer",50,1148,1112,302,556,"20000-50000",34.99
"6495",393380,"Squad","2015/12/14",1,"Offworld Industries","Offworld Industries","windows",0,"Multi-player;Online Multi-Player;Steam Trading Cards;Steam Workshop;Partial Controller Support;Valve Anti-Cheat enabled","Action;Indie;Strategy;Early Access","Early Access;FPS;Military",0,23539,6008,3173,1563,"500000-1000000",32.5
"6498",393420,"Hurtworld","2015/12/3",1,"Bankroll Studios","Bankroll Studios","windows;mac",0,"Multi-player;Co-op;Cross-Platform Multiplayer","Action;Adventure;Simulation;Early Access","Early Access;Survival;Open World",0,15574,5362,5439,7099,"500000-1000000",19.49
"6499",393430,"Ice Lakes","2016/4/19",1,"Iceflake Studios","Iceflake Studios","windows;mac;linux",0,"Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards","Indie;Simulation;Sports","Sports;Simulation;Fishing",60,822,162,853,1217,"100000-200000",10.99
"6502",393530,"Insanity Clicker","2016/6/7",1,"PlayFlock","PlayFlock","windows;mac",0,"Single-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;In-App Purchases;Steam Cloud","Adventure;Casual;Free to Play;Indie;RPG;Simulation;Strategy","Free to Play;Clicker;Horror",102,1475,751,76,90,"200000-500000",0
"6519",394120,"Atom Universe","2017/12/25",1,"Atom Republic","Atom Republic","windows",0,"Multi-player;MMO;Cross-Platform Multiplayer;Steam Achievements;Full controller support","Casual;Free to Play;Massively Multiplayer","Free to Play;Open World;Massively Multiplayer",0,152,226,3,6,"100000-200000",0
"6524",394230,"Battleborn","2016/5/3",1,"Gearbox Software","2K","windows",0,"Single-player;Multi-player;Online Multi-Player;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action","FPS;Action;Multiplayer",60,5692,3494,652,752,"500000-1000000",0
"6529",394310,"Punch Club","2016/1/8",1,"Lazy Bear Games","tinyBuild","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud","Indie;RPG;Strategy","Management;Pixel Graphics;Indie",47,6071,1669,478,378,"500000-1000000",6.99
"6530",394360,"Hearts of Iron IV","2016/6/6",1,"Paradox Development Studio","Paradox Interactive","windows;mac;linux",0,"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud","Simulation;Strategy","Strategy;World War II;Grand Strategy",92,34711,5251,9413,4181,"1000000-2000000",34.99
"6536",394510,"HELLDIVERS? A New Hell Edition","2015/12/7",1,"Arrowhead Game Studios","PlayStation Mobile, Inc.","windows",16,"Single-player;Multi-player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Valve Anti-Cheat enabled","Action","Co-op;Online Co-Op;Twin Stick Shooter",39,13065,1222,1112,1416,"500000-1000000",15.99
"6537",394540,"Spaceport Hope","2016/4/15",1,"team BitClub","team BitClub , Sunken Treasure Games","windows",0,"Single-player;Steam Achievements;Steam Trading Cards","Action;Adventure;Indie","Indie;Adventure;Platformer",24,342,101,264,303,"200000-500000",0.79
"6541",394690,"Tower Unite","2016/4/8",1,"PixelTail Games","PixelTail Games","windows",0,"Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards","Action;Adventure;Casual;Indie;Massively Multiplayer;Early Access","Early Access;Mini Golf;Massively Multiplayer",354,5275,968,1326,1532,"200000-500000",10.99
"6548",394870,"Office Battle","2015/12/2",1,"Black Lime Studio","Black Lime Studio","windows",0,"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards;Includes level editor","Violent;Action;Indie","Action;Indie;Violent",15,578,224,261,277,"100000-200000",0.79
"6550",394970,"DEADBOLT","2016/3/14",1,"Hopoo Games","Hopoo Games","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor","Action;Indie","Indie;Stealth;Pixel Graphics",24,2376,117,364,559,"100000-200000",6.99
"6555",395170,"DISTRAINT: Deluxe Edition","2015/10/21",1,"Jesse Makkonen","Jesse Makkonen","windows",0,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support","Adventure;Casual;Indie","Indie;Horror;Psychological Horror",16,6830,451,228,242,"2000000-5000000",3.99
"6562",395380,"ANKI","2015/8/24",1,"Wojciech Krupinski","KrupinskiArt","windows",0,"Single-player;Steam Trading Cards","Action;Adventure;Casual;Indie","Indie;Casual;Action",0,68,38,394,397,"50000-100000",0.79
"6568",395520,"Missing Translation","2015/9/24",1,"AlPixel Games;Luis Diaz;Gustavo Santos;Albert Fernandez;Tice Thomason","GamesBoosters","windows;mac",0,"Single-player;Steam Achievements;Steam Trading Cards","Adventure;Casual;Free to Play;Indie","Free to Play;Pixel Graphics;Puzzle",6,2429,331,3,5,"200000-500000",0
"6594",396360,"LocoSoccer","2015/12/9",1,"Startreming","Startreming","windows;linux",0,"Single-player;Co-op;Steam Trading Cards;Partial Controller Support","Indie;Sports;Strategy","Sports;Indie;Strategy",0,129,64,237,275,"50000-100000",0.75
"6596",396530,"Fireflies","2015/9/7",1,"Phanom Games","Phanom Games","windows",0,"Single-player;Steam Trading Cards","Adventure;Indie","Adventure;Indie;Horror",0,9,32,637,648,"50000-100000",1.59
"6606",396750,"EVERSPACE?","2017/5/25",1,"ROCKFISH Games","ROCKFISH Games","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action;Indie","Space;Action;Sci-fi",33,4061,1087,312,332,"200000-500000",22.99
"6607",396790,"Dracula's Legacy","2015/10/22",1,"Jetdogs Studios;IndeePop","Jetdogs Studios","windows;mac",0,"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud","Casual;Indie","Casual;Indie;Hidden Object",16,471,127,267,330,"100000-200000",1.99
"6610",396850,"Chronicles of the Witches and Warlocks","2015/11/18",1,"8Floor","8Floor","windows",0,"Single-player;Steam Achievements;Steam Trading Cards","Adventure;Casual","Casual;Adventure;Hidden Object",13,34,43,262,264,"50000-100000",3.99
"6618",397060,"Faeria","2017/3/8",1,"Abrakam SA","Versus Evil","windows;mac;linux",0,"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;In-App Purchases","Adventure;Indie;Massively Multiplayer;RPG;Strategy","Card Game;Strategy;Multiplayer",59,4683,882,2201,2049,"500000-1000000",18.99
"6631",397340,"SimplePlanes","2015/12/17",1,"Jundroo, LLC","Jundroo, LLC","windows;mac",0,"Single-player;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud","Indie;Simulation","Simulation;Sandbox;Building",72,4544,474,538,742,"500000-1000000",9.99
"6636",397430,"Zoombinis","2015/10/28",1,"TERC","Viva Media","windows;mac",0,"Single-player;Steam Trading Cards","Adventure;Casual","Casual;Adventure;Puzzle",0,441,35,344,463,"50000-100000",6.99
"6639",397500,"Labyronia RPG 2","2015/8/28",1,"Labyrinthine","Epic Quest Games","windows",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud","Action;Adventure;Indie;RPG","Anime;RPGMaker;RPG",6,391,129,154,210,"200000-500000",0.79
"6646",397700,"Urizen Shadows of the Cold Deluxe Frosty Edition","2015/8/31",1,"Red Moon Studio","Red Moon Studio","windows",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards","Action;Adventure;Indie","Action;Adventure;Indie",44,26,97,308,352,"50000-100000",1.69
"6662",397900,"Business Tour - Board Game with Online Multiplayer","2017/7/27",1,"Creobit","8Floor","windows;mac",0,"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases;Steam Leaderboards","Casual;Free to Play;Indie;Massively Multiplayer;Strategy","Free to Play;Board Game;Strategy",19,9693,5411,584,279,"1000000-2000000",0
"6663",397940,"No Time To Live","2015/9/30",1,"Snail-Ninja Studio","Snail-Ninja Studio","windows",0,"Single-player;Steam Trading Cards","Adventure;Casual;Indie;Simulation","Indie;Adventure;Casual",9,92,29,253,275,"20000-50000",1.69
"6664",397950,"Clustertruck","2016/9/27",1,"Landfall","tinyBuild","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Workshop;Stats;Steam Leaderboards;Includes level editor","Action;Indie","Parkour;Action;First-Person",19,4497,485,211,303,"200000-500000",10.99
"6667",397980,"Invasion","2015/9/18",1,"Hipix Studio","Dagestan Technology","windows",0,"Single-player;Steam Trading Cards","Action;Indie","Indie;Action;Gore",0,251,221,262,297,"200000-500000",3.19
"6677",398150,"Ace of Protectors","2016/6/27",1,"xPathfinder","xPathfinder Games","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action;Adventure;Indie;RPG","Action;Adventure;RPG",47,41,27,515,769,"20000-50000",1.69
"6689",398680,"Ace Of Words","2016/5/13",1,"ZeroBit Games","Ocean Media LLC","windows",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Casual;Indie","Casual;Indie;Word Game",18,511,238,242,272,"100000-200000",3.99
"6690",398710,"Timberman","2015/9/18",1,"Digital Melody","Forever Entertainment S. A.","windows;mac;linux",0,"Single-player;Multi-player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Action;Casual;Indie","Casual;Action;Indie",20,5139,350,245,200,"200000-500000",0.79
"6692",398830,"Goggles - World of Vaporia","2015/10/9",1,"Bit2Good Ug","Bit2Good Ug","windows;mac;linux",0,"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action;Adventure;Casual;Indie;Racing","Action;Adventure;Indie",40,7,5,297,299,"20000-50000",5.59
"6694",398850,"Epistory - Typing Chronicles","2016/3/30",1,"Fishing Cactus","Fishing Cactus;Plug In Digital","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards","Action;Adventure;Indie","Typing;Adventure;Action",55,3603,160,324,298,"200000-500000",10.99
"6702",399000,"Porradaria Upgrade","2015/9/30",0,"CleanWaterSoft","CleanWaterSoft","windows;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action;Indie","Action;Indie;Platformer",12,38,16,273,288,"20000-50000",3.99
"6705",399090,"It's time to get out from the solar system","2015/9/1",1,"WTFOMGames","WTFOMGames","windows;linux",0,"Single-player;Steam Trading Cards;Partial Controller Support","Action;Adventure;Casual;Indie;RPG","Indie;Action;Adventure",0,8,38,222,225,"0-20000",2.89
"6711",399230,"Kitchen Simulator 2015","2015/9/2",1,"WhackAKey Games","WhackAKey Games","windows",0,"Single-player;Steam Trading Cards","Action;Adventure;Casual;Simulation;Strategy","Simulation;Casual;Strategy",0,19,71,259,262,"50000-100000",0.79
"6715",399430,"Tinboy","2015/8/31",1,"Interactive Stone","Interactive Stone","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards","Casual;Indie","Indie;Casual;Puzzle-Platformer",13,270,163,199,217,"200000-500000",1.69
"6720",399670,"Game Corp DX","2015/10/2",1,"Endless Loop Studios","Endless Loop Studios","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards","Indie;Simulation","Management;Simulation;Economy",36,2370,348,334,559,"100000-200000",1.99
"6722",399790,"Destiny Warriors RPG","2015/9/11",1,"ninjalex","EpicQuest Games","windows",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Adventure;Indie;RPG","RPGMaker;Anime;RPG",6,416,439,256,360,"200000-500000",1.59
"6724",399820,"Kopanito All-Stars Soccer","2016/11/16",1,"Merixgames","Merixgames","windows;mac;linux",0,"Single-player;Online Multi-Player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Action;Indie;Sports","Sports;Indie;Action",226,1234,277,142,235,"50000-100000",4.79
"6730",400020,"Atari Vault","2016/3/24",1,"Code Mystics","Atari","windows;mac;linux",0,"Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards","Action;Adventure;Casual;Racing;RPG;Sports;Strategy","Retro;Classic;Arcade",12,331,78,50,75,"20000-50000",6.99
"6736",400170,"The Incredible Adventures of Van Helsing: Final Cut","2015/11/6",1,"NeocoreGames","NeocoreGames","windows",0,"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards","Action;Adventure;Indie;RPG","RPG;Adventure;Action",50,1190,457,100,125,"200000-500000",29.99
"6737",400180,"Okhlos: Omega","2016/8/18",1,"Coffee Powered Machine","Devolver Digital","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action;Indie;Strategy","Action;Indie;Strategy",38,528,134,281,339,"200000-500000",9.99
"6741",400240,"The Deer","2016/3/28",1,"Fabio Ferrara;Giulia Airoldi","Chubby Pixel","windows;mac;linux",0,"Single-player;Full controller support;Steam Trading Cards","Adventure;Indie","Indie;Adventure;Education",0,1460,884,190,202,"500000-1000000",0.59
"6742",400250,"Heaven Island - VR MMO","2015/12/23",1,"Fabio Ferrara;Giulia Airoldi","Chubby Pixel","windows;mac;linux",0,"Single-player;Multi-player;MMO;Steam Achievements;Full controller support;Steam Trading Cards;VR Support","Adventure;Indie;Massively Multiplayer","Walking Simulator;Adventure;Indie",12,1286,893,330,372,"500000-1000000",0.79
"6746",400370,"Normality","2015/10/9",1,"Gremlin Interactive","Funbox Media Ltd","windows",0,"Single-player;Steam Trading Cards","Action;Adventure","Adventure;Action;Point & Click",0,190,100,192,209,"100000-200000",2.09
"6747",400380,"Tactical Soccer The New Season","2015/11/20",1,"EGCL","KISS ltd","windows;mac",0,"Single-player;Steam Achievements;Steam Trading Cards","Indie;Simulation;Sports;Strategy","Sports;Strategy;Indie",24,11,15,299,339,"20000-50000",6.99
