"","appid","name","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price"
"1500",220740,"Chaos on Deponia","2012/11/6",1,"Daedalic Entertainment","Daedalic Entertainment","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud","Adventure;Indie","Adventure;Point & Click;Comedy",34,1433,121,227,418,"200000-500000",15.99
"1501",220780,"Thomas Was Alone","2012/11/12",1,"Bithell Games","Bithell Games","windows;mac",0,"Single-player;Steam Achievements;Full controller support","Indie","Platformer;Indie;Narration",35,7456,438,72,81,"500000-1000000",5.99
"1502",220820,"Zombie Driver HD","2012/10/17",1,"Exor Studios","Exor Studios","windows",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards","Violent;Gore;Action;Indie;Racing","Zombies;Racing;Action",103,2050,381,338,233,"200000-500000",6.99
"1503",220860,"McPixel","2012/9/25",1,"Sos Sosowski","Sos Sosowski","windows;mac",0,"Single-player;Steam Trading Cards;Steam Cloud;Includes level editor","Action;Adventure;Indie","Point & Click;Indie;Comedy",0,3000,581,136,166,"200000-500000",2.99
"1505",221020,"Towns","2012/11/7",1,"Xavi Canal, Ben Palgi","SMP","windows;mac",0,"Single-player","Indie;RPG;Simulation;Strategy","City Builder;Indie;Sandbox",0,632,1878,2365,4713,"100000-200000",9.99
"1506",221040,"Resident Evil 6 / Biohazard 6","2013/3/21",1,"Capcom","Capcom","windows",18,"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards","Action;Adventure","Action;Zombies;Co-op",70,14643,3904,1602,1245,"1000000-2000000",19.99
"1507",221100,"DayZ","2018/12/13",1,"Bohemia Interactive","Bohemia Interactive","windows",18,"Multi-player;Online Multi-Player;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled","Action;Adventure;Massively Multiplayer","Survival;Zombies;Open World",0,118435,77169,7235,2798,"2000000-5000000",33.99
"1509",221260,"Little Inferno","2012/11/19",1,"Tomorrow Corporation","Tomorrow Corporation","windows;mac;linux",0,"Single-player","Adventure;Casual;Indie","Casual;Indie;Puzzle",0,6403,459,177,246,"500000-1000000",6.99
"1510",221380,"Age of Empires II HD","2013/4/9",1,"Skybox Labs;Hidden Path Entertainment;Ensemble Studios;Forgotten Empires","Microsoft Studios","windows",0,"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor","Strategy","Strategy;RTS;Multiplayer",294,54090,3178,1569,619,"5000000-10000000",14.99
"1512",221640,"Super Hexagon","2012/11/27",1,"Terry Cavanagh","Terry Cavanagh","windows;mac;linux",0,"Single-player;Full controller support","Action;Indie","Difficult;Indie;Great Soundtrack",6,19797,616,140,130,"1000000-2000000",1.99
"1513",221680,"Rocksmith? 2014 Edition - Remastered","2016/10/4",1,"Ubisoft - San Francisco","Ubisoft","windows;mac",0,"Single-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support;Steam Cloud;Steam Leaderboards","Casual;Simulation","Music;Education;Simulation",47,8228,789,6704,7089,"500000-1000000",25.99
"1516",221910,"The Stanley Parable","2013/10/17",1,"Galactic Cafe","Galactic Cafe","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud","Adventure;Indie","Comedy;Narration;Indie",10,31538,2846,170,132,"2000000-5000000",9.99
