appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
628520,Rozkol,2017/5/10,1,Nuostak,LEVER Software;Enjoy Games,windows,0,Single-player;Steam Trading Cards,Action;Adventure;Indie;Simulation,Indie;Action;Adventure,0,22,25,285,292,20000-50000,3.19
628530,Blobby Tennis,2017/5/12,1,SlinDev,SlinDev,windows;mac,0,Single-player;Steam Achievements,Indie;Simulation;Sports,Tennis;Indie;Simulation,16,17,6,0,0,0-20000,0
628560,Bebop and Tempo,2017/6/19,1,Brandon Dominguez,Brandon Dominguez,windows;mac,0,Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure,Action;Adventure;Platformer,22,5,6,0,0,0-20000,3.99
628570,Trivia Night,2017/6/24,1,Timberwolf Studios,Timberwolf Studios,windows,0,Single-player;Local Multi-Player;Shared/Split Screen;Steam Trading Cards;Partial Controller Support,Casual;Indie;Early Access,Early Access;Indie;Casual,0,12,5,0,0,0-20000,3.99
628580,Miniballist,2018/3/13,1,Timberwolf Studios,Timberwolf Studios,windows,0,Single-player;Steam Achievements,Casual;Indie,Indie;Casual;Platformer,13,10,3,622,622,0-20000,0.79
628650,A New World: Kingdoms,2017/10/5,1,Red Phoenix Studios,Red Phoenix Studios,windows,0,Single-player;Steam Achievements,Casual;Indie;Strategy,Strategy;Indie;Casual,14,0,7,0,0,0-20000,5.19
628660,Lode Runner Legacy,2017/7/13,1,"Tozai Games, Inc.;O-TWO inc.;ESQUADRA,inc.","Tozai Games, Inc.",windows,0,Single-player;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Action;Casual,Action;Casual;Puzzle,35,58,8,0,0,0-20000,10.79
628700,The Flaws of Gravity,2017/5/5,1,Absorbed Studios,Absorbed Studios,windows,0,Single-player,Adventure;Free to Play;Indie,Free to Play;Indie;Adventure,0,136,87,0,0,50000-100000,0
628710,Hell Warders,2019/2/21,1,Anti Gravity Game Studios,PQube Limited,windows,0,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Casual;Indie;RPG;Strategy,Action;Indie;Casual,17,70,29,0,0,0-20000,10.99
628720,GODS Remastered,2018/12/3,1,Robot Riot UG (haftungsbeschr?nkt),Robot Riot UG (haftungsbeschr?nkt),windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action,Action;Platformer;Retro,46,18,4,0,0,0-20000,16.74
628730,Adolescent Santa Claus,2018/6/30,1,"TALESSHOP Co., Ltd.","TALESSHOP Co., Ltd.",windows,0,Single-player,Adventure;Casual;Free to Play;Indie,Free to Play;Visual Novel;Anime,0,542,89,0,0,50000-100000,0
628750,aMAZE 2,2017/4/21,1,Blender Games,Blender Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Casual;Indie;Puzzle,10,316,63,255,289,100000-200000,0.79
628760,The Adventurer - Episode 1: Beginning of the End,2017/7/29,1,ZemunBRE,ZemunBRE,windows,0,Single-player;Steam Trading Cards,Adventure;Casual;Indie;RPG,Adventure;Indie;Casual,0,42,60,271,271,200000-500000,0.79
628770,Tangledeep,2018/2/1,1,Impact Gameworks,Impact Gameworks,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards,Indie;RPG,Rogue-like;RPG;Indie,45,488,66,24,24,20000-50000,10.99
628800,Super Hydorah,2017/9/20,1,Locomalito;Gryzor87;Abylight,Abylight Studios,windows,0,Single-player;Local Multi-Player;Co-op;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Action;Indie,Indie;Action;Shoot 'Em Up,21,102,3,0,0,0-20000,15.49
628820,ALaLa: Wake Mi Up!,2017/5/15,1,Fevolution Innovation Inc.,Fevolution Innovation Inc.,windows,0,Multi-player;Local Multi-Player;Local Co-op;Shared/Split Screen,Adventure;Casual;Indie;Strategy,Adventure;Indie;Casual,0,7,4,0,0,0-20000,7.99
628840,Fighter of Evil,2017/5/3,1,SharkGame,Rhino Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Indie,Action;Indie,6,30,33,412,455,50000-100000,1.59
628850,Spiny Adventures,2017/7/6,1,Czje,SIFAKA DIGITAL,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Indie,Indie;Platformer;2D,50,31,16,120,120,20000-50000,0.79
628890,NOBUNAGA'S AMBITION: Taishi / 信長の野望?大志,2017/11/29,1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Simulation,Simulation;Historical;Strategy,37,158,305,0,0,50000-100000,49.99
628900,Terra Mystica,2017/6/8,1,DIGIDICED,DIGIDICED,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Turn Notifications,Indie;Strategy,Indie;Strategy;Board Game,5,50,45,0,0,0-20000,10.99
628920,Tomboys Need Love Too!,2017/5/12,1,Zetsubou,Zetsubou,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Sexual Content;Nudity;Casual;Indie;Simulation,Nudity;Sexual Content;Visual Novel,7,86,15,0,0,0-20000,6.99
628950,Nephise Begins,2017/4/24,1,Tongu? Bodur,Tongu? Bodur,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Casual;Indie,Indie;Adventure;Casual,5,89,40,0,0,0-20000,1.49
628960,Journey to Alien Worlds,2017/4/27,1,Ideographer,Ideographer,windows,0,Single-player,Adventure;Casual;Indie;Simulation;Early Access,Early Access;Adventure;Indie,0,5,0,0,0,0-20000,2.89
629000,Lydia,2017/6/2,1,Platonic Partnership Ltd,Platonic Partnership Ltd,windows;mac,0,Single-player;Steam Achievements,Adventure;Indie,Adventure;Indie;Female Protagonist,1,335,35,0,0,20000-50000,3.99
629030,Employee Recycling Center,2017/5/15,1,Idea Cabin,Idea Cabin,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Gore;Adventure;Casual;Indie,Indie;Casual;Adventure,505,25,81,0,0,100000-200000,0.79
629040,Skytropolis,2017/11/2,1,Mythical City Games,LNG Studios,windows;mac,0,Single-player;Steam Cloud,Indie;Simulation,Simulation;Indie;VR,0,19,3,0,0,0-20000,19.49
